UserID,Uclass,Age,Sex,Estate,HousingPrice,MeanPrice,HousingRate,January,Feburary,March,April,May,June,July,August,September,October,November,December,ComplaintTime
190532640,1,57,男,八一小区2977,2977,4053,3,630.18,337.7,340.8,362.52,292.34,268.2,388.55,421.78,290.93,311.87,357.34,573.57,4
8195659414,1,45,男,巩家洼子回迁小区3017,3017,4053,3,73.8,79.09,171.28,151.82,126.82,154.61,142.45,34.56,148.01,178.19,161.22,180.78,10
8540259445,3,62,男,海城花园小区3397,3397,4557,3,150.16,60.76,174,266.83,229.29,210.29,437.8,398.88,354.46,234.49,190.27,167.66,7
259252739,1,,,梧桐园小区7040,7040,9420,3,382.76,359.26,352.64,342.41,233.92,216.34,260.15,238.69,208.4,310.26,307.31,403.56,8
314409009,3,34,男,葵英小区15503,15503,20693,3,66.48,5.47,115,2.57,11.71,40.66,179.36,160.62,92.13,150.83,423.61,399.22,11
7855335716,2,,,水木康桥6041,6041,8063,3,170.38,158.22,100.9,85.92,122.75,164.98,140.71,156.8,151.67,151.58,167.33,208.37,1
8437368755,2,31,女,水岸华城小区4315,4315,5749,3,233.52,257.22,269.05,250.14,239.47,275.4,453.45,469.27,200.77,230.17,215.95,279.43,9
8437368797,2,39,男,水岸华城小区4315,4315,5749,3,213.67,222.65,215.88,232.82,231.76,265.46,327.5,358.99,196.93,246.33,249.75,290.74,19
196416177,1,,,红纬小区2929,2929,3890,3,192.48,113.59,114.75,288.31,257.48,273.36,244.23,262.85,213.32,230.07,191.17,271.35,10
260437950,3,,,辽河街小区8063,8063,10693,3,466.12,395.53,556.26,616.58,676.98,917.37,1024.03,910.74,617.53,604.81,641.84,728.98,8
267949816,1,,,今日阳光7627,7627,10024,3,428.05,284.39,176.11,143.72,134.54,100.39,101.81,93.59,87.1,111.6,129.27,170.61,11
258635056,1,,,洮昌花园7180,7180,9420,3,0,0,0,0,0,0,0,0,0,154.18,129.41,147.35,7
231992785,1,,,友谊小区4119,4119,5404,3,60.38,52.54,49.28,47.16,62.53,83.88,130.06,53.48,51.18,51.7,40.49,46.78,11
253993177,3,,,杏林小区7164,7164,9371,3,1037.9,197.83,699.5,758.31,682.83,857.19,1190.89,1213.2,861.31,650.69,825.5,1305.24,10
253837516,3,,,华家7212,7212,9420,3,0,0,0,0,0,0,0,0,0,0,0,0,11
253845869,3,,,舟泉小区7177,7177,9371,3,3736.22,754.77,1692.9,3159.35,3883.18,5644.18,8418.19,8065.09,4501.36,4497.5,4361.52,4490.61,1
267326080,1,,,十三路小区7710,7710,10024,3,48.79,177.26,149.76,131.5,133.77,117.07,90.14,0,0,0,0.37,0,11
260591010,1,,,北方医院家属楼8228,8228,10693,3,114.04,83.19,57.13,65.23,273.35,199.39,164.43,159.51,129.88,182.4,177.88,185.37,9
302945030,2,,,和平海岸6366,6366,8256,3,208.18,215.03,186.27,232.98,238.57,229.23,280.18,283.21,231.54,219.07,204.62,214.72,10
8056819515,3,,,逸馨园小区6101,6101,7875,3,435.98,428.93,461.35,440.78,581.11,676.64,819.31,799.92,639.91,570.33,621.65,530.73,11
210724651,1,,,珠江园小区4093,4093,5276,3,71.81,86.68,85,77.23,52.71,67.22,68.33,13.88,2.98,5.63,6.57,4.38,10
8076686614,4,,,阳光花园4790,4790,6160,3,20.81,30.13,84.17,187.06,199,205.68,236.36,231.09,243.01,200.85,184.93,266.48,9
7480786149,2,,,青城小区7478,7478,9611,3,28.22,18.07,20.03,46.86,32.46,43.99,26.62,50.5,175.34,161.95,236.12,533.71,5
8054544639,1,43,男,新汉城8323,8323,10693,3,144.55,179.49,173.23,171.13,187.46,160.95,166.66,158.05,121.15,129.36,149.37,93.07,11
268119719,1,,,桥园小区7894,7894,10024,3,121.13,140.71,147.61,120.75,102.05,87.2,108.23,74.31,53.74,86.14,78.43,95.73,12
263377417,1,,,北陵小区8425,8425,10693,3,26.37,12.48,14.2,23.1,28.85,36.09,1.05,5.24,43.06,65.65,39.98,39.23,8
263377534,1,,,北陵小区8425,8425,10693,3,315.14,398.1,393.28,282.21,216.22,148.94,148.81,233.56,86.69,131.17,121.8,164.85,7
250756708,1,,,山东堡小区7395,7395,9371,3,170.42,143.04,116.1,121.44,121.07,79.71,53.91,100.76,95.93,119.59,130.33,153.1,5
8217373610,1,34,女,优诗美地小区8008,8008,10084,3,0,0,0,0,0,0,0,0,0,181.71,224.72,204.77,10
311929263,1,,,西苑花园14893,14893,18734,3,258.98,261.26,271.74,201.45,242.08,184.18,230.8,244.66,183.82,241.9,252.66,249.39,3
8042600947,1,,,金都华府4197,4197,5273,3,152.15,147.22,164.93,172.54,148.67,132.34,133.23,146.62,123.63,143.29,153.19,162.01,10
311687482,1,,,马栏客车北山14915,14915,18734,3,326.78,430.8,381.35,338.03,267.47,238.63,318.02,506.01,298.72,298.13,361.96,455.12,7
